# scenario_id: 20
# description: Forward fall when trying to sit down
# age: 32
# height_m: 1.75
# sex: male
# weight_kg: 80.0
t,ax,ay,az,gx,gy,gz,pelvis_z,pelvis_vx,impact_n,accel_mag,fall
0.0,0.04225,0.02285,9.81382,0.81051,-0.42097,-0.23378,0.93563,-0.16913,0.0,9.81394,0
0.01,-0.11918,0.47092,8.98765,0.91456,-0.45338,-0.18566,0.93546,-0.15096,0.0,9.00077,0
0.02,-0.2806,0.91899,8.16149,1.0186,-0.48579,-0.13755,0.93529,-0.13279,0.0,8.21786,0
0.03,-0.44202,1.36706,7.33532,1.12265,-0.5182,-0.08944,0.93512,-0.11462,0.0,7.4747,0
0.04,-0.52565,1.92263,6.70525,1.15971,-0.50235,-0.05165,0.93474,-0.09566,0.0,6.99522,0
0.05,-0.57038,2.53194,6.17322,1.16328,-0.46237,-0.01903,0.93427,-0.07631,0.0,6.69662,0
0.06,-0.61512,3.14126,5.64119,1.16684,-0.42239,0.01359,0.9338,-0.05696,0.0,6.48605,0
0.07,-0.67885,3.74115,5.06179,1.15892,-0.3776,0.04269,0.93327,-0.04145,0.0,6.33078,0
0.08,-0.78059,4.3222,4.38767,1.128,-0.32319,0.06476,0.93264,-0.03361,0.0,6.20825,0
0.09,-0.88233,4.90324,3.71354,1.09708,-0.26879,0.08684,0.932,-0.02576,0.0,6.21375,0
0.1,-0.98406,5.48429,3.03941,1.06617,-0.21438,0.10891,0.93137,-0.01792,0.0,6.34695,0
0.11,-0.98293,5.93338,2.61852,0.99745,-0.16704,0.11512,0.93093,-0.01872,0.0,6.55956,0
0.12,-0.9818,6.38247,2.19763,0.92874,-0.1197,0.12133,0.93049,-0.01952,0.0,6.82125,0
0.13,-0.98067,6.83156,1.77674,0.86002,-0.07236,0.12754,0.93005,-0.02033,0.0,7.12662,0
0.14,-0.92467,7.23982,1.34943,0.78939,-0.05155,0.14662,0.92965,-0.0312,0.0,7.42232,0
