# task_id: 20
# description: Forward fall when trying to sit down
# category: Sitting Transitions
# age: 32
# height_m: 1.75
# sex: male
# weight_kg: 82.0
# date: 2026-04-14T14:36:46.401836
# task: 20 - Forward fall when trying to sit down
timestamp,accel_x,accel_y,accel_z,accel_raw_x,accel_raw_y,accel_raw_z,gyro_x,gyro_y,gyro_z,pelvis_height,impact_force,fall_detected
0.0333,0.189172,2.367783,7.165822,0.0,0.0,9.81,0.598348,0.456984,-0.093097,0.939877,0.0,0
0.0433,0.266577,2.904109,6.559057,0.397901,2.685219,6.578222,0.617195,0.520103,-0.001315,0.940705,0.0,0
0.0533,0.343981,3.440435,5.952292,0.795802,5.370438,3.346444,0.636042,0.583222,0.090467,0.941532,0.0,0
0.0633,0.421386,3.976761,5.345527,1.193703,8.055657,0.114666,0.654889,0.646341,0.18225,0.94236,0.0,0
0.0733,0.496728,4.409163,4.845819,0.66739,9.80808,-0.657839,0.618334,0.667247,0.229781,0.942697,0.0,0
0.0833,0.57104,4.789602,4.399639,-0.321028,11.094105,-0.200708,0.554077,0.667047,0.255187,0.942788,0.0,0
0.0933,0.645352,5.170041,3.953459,-1.309447,12.38013,0.256423,0.489821,0.666847,0.280592,0.94288,0.0,0
0.1033,0.71387,5.524567,3.546401,-1.926085,13.015478,0.800435,0.423429,0.653191,0.302178,0.942521,0.0,0
0.1133,0.7708,5.827268,3.217588,-1.799161,12.349472,1.51821,0.352768,0.612625,0.316125,0.941262,0.0,0
0.1233,0.827731,6.129969,2.888775,-1.672237,11.683465,2.235985,0.282107,0.57206,0.330072,0.940004,0.0,0
0.1333,0.884661,6.432669,2.559962,-1.545313,11.017459,2.95376,0.211445,0.531494,0.344019,0.938745,0.0,0
0.1433,0.913009,6.664162,2.316632,-0.974939,10.575044,2.040273,0.161096,0.482985,0.362984,0.936611,0.0,0
0.1533,0.941358,6.895655,2.073303,-0.404564,10.13263,1.126786,0.110746,0.434476,0.38195,0.934477,0.0,0
